
X0 0; Y0 0; Smax 10000; p 0.050000; temps moyen 0.000000 p' 1.000000
X0 0; Y0 0; Smax 10000; p 0.150000; temps moyen 0.000000 p' 1.000000
X0 0; Y0 0; Smax 10000; p 0.250000; temps moyen 0.000000 p' 1.000000
X0 0; Y0 0; Smax 10000; p 0.350000; temps moyen 0.000000 p' 1.000000
X0 0; Y0 0; Smax 10000; p 0.450000; temps moyen 0.000000 p' 1.000000
X0 0; Y0 0; Smax 10000; p 0.550000; temps moyen 0.000000 p' 1.000000
X0 0; Y0 0; Smax 10000; p 0.650000; temps moyen 0.000000 p' 1.000000
X0 0; Y0 0; Smax 10000; p 0.750000; temps moyen 0.000000 p' 1.000000
X0 0; Y0 0; Smax 10000; p 0.850000; temps moyen 0.000000 p' 1.000000
X0 0; Y0 0; Smax 10000; p 0.950000; temps moyen 0.000000 p' 1.000000
X0 0; Y0 1; Smax 10000; p 0.050000; temps moyen 1.076289 p' 0.985373
X0 0; Y0 1; Smax 10000; p 0.150000; temps moyen 1.368379 p' 0.962044
X0 0; Y0 1; Smax 10000; p 0.250000; temps moyen 3.482162 p' 0.975075
X0 0; Y0 1; Smax 10000; p 0.350000; temps moyen 7.493678 p' 0.955020
X0 0; Y0 1; Smax 10000; p 0.450000; temps moyen 29.513075 p' 0.926315
X0 0; Y0 1; Smax 10000; p 0.550000; temps moyen 120.664679 p' 0.917684
X0 0; Y0 1; Smax 10000; p 0.650000; temps moyen 240.821871 p' 0.841955
X0 0; Y0 1; Smax 10000; p 0.750000; temps moyen 225.579125 p' 0.624320
X0 0; Y0 1; Smax 10000; p 0.850000; temps moyen 173.060351 p' 0.357649
X0 0; Y0 1; Smax 10000; p 0.950000; temps moyen 125.923294 p' 0.106666
X0 0; Y0 2; Smax 10000; p 0.050000; temps moyen 2.617604 p' 0.996672
X0 0; Y0 2; Smax 10000; p 0.150000; temps moyen 4.585800 p' 0.985262
X0 0; Y0 2; Smax 10000; p 0.250000; temps moyen 8.689558 p' 0.965535
X0 0; Y0 2; Smax 10000; p 0.350000; temps moyen 21.322670 p' 0.939747
X0 0; Y0 2; Smax 10000; p 0.450000; temps moyen 80.078767 p' 0.913902
X0 0; Y0 2; Smax 10000; p 0.550000; temps moyen 239.333691 p' 0.901241
X0 0; Y0 2; Smax 10000; p 0.650000; temps moyen 430.583034 p' 0.764352
X0 0; Y0 2; Smax 10000; p 0.750000; temps moyen 414.634659 p' 0.479661
X0 0; Y0 2; Smax 10000; p 0.850000; temps moyen 362.279481 p' 0.203749
X0 0; Y0 2; Smax 10000; p 0.950000; temps moyen 334.618959 p' 0.040935
X0 0; Y0 5; Smax 10000; p 0.050000; temps moyen 7.516144 p' 0.995015
X0 0; Y0 5; Smax 10000; p 0.150000; temps moyen 15.873022 p' 0.979049
X0 0; Y0 5; Smax 10000; p 0.250000; temps moyen 35.246615 p' 0.956639
X0 0; Y0 5; Smax 10000; p 0.350000; temps moyen 88.640794 p' 0.933295
X0 0; Y0 5; Smax 10000; p 0.450000; temps moyen 226.108280 p' 0.927834
X0 0; Y0 5; Smax 10000; p 0.550000; temps moyen 545.958198 p' 0.877909
X0 0; Y0 5; Smax 10000; p 0.650000; temps moyen 857.526664 p' 0.638549
X0 0; Y0 5; Smax 10000; p 0.750000; temps moyen 868.476364 p' 0.305061
X0 0; Y0 5; Smax 10000; p 0.850000; temps moyen 823.965005 p' 0.096843
X0 0; Y0 5; Smax 10000; p 0.950000; temps moyen 794.902217 p' 0.016698
X0 0; Y0 10; Smax 10000; p 0.050000; temps moyen 17.799379 p' 0.993466
X0 0; Y0 10; Smax 10000; p 0.150000; temps moyen 45.584703 p' 0.977896
X0 0; Y0 10; Smax 10000; p 0.250000; temps moyen 103.711129 p' 0.956753
X0 0; Y0 10; Smax 10000; p 0.350000; temps moyen 222.181193 p' 0.946181
X0 0; Y0 10; Smax 10000; p 0.450000; temps moyen 489.961829 p' 0.926195
X0 0; Y0 10; Smax 10000; p 0.550000; temps moyen 982.891869 p' 0.818541
X0 0; Y0 10; Smax 10000; p 0.650000; temps moyen 1422.542530 p' 0.514813
X0 0; Y0 10; Smax 10000; p 0.750000; temps moyen 1466.786320 p' 0.197687
X0 0; Y0 10; Smax 10000; p 0.850000; temps moyen 1439.654984 p' 0.052847
X0 0; Y0 10; Smax 10000; p 0.950000; temps moyen 1430.891391 p' 0.008383
X0 1; Y0 0; Smax 10000; p 0.050000; temps moyen 1.084036 p' 0.986709
X0 1; Y0 0; Smax 10000; p 0.150000; temps moyen 1.376355 p' 0.964473
X0 1; Y0 0; Smax 10000; p 0.250000; temps moyen 3.487894 p' 0.977207
X0 1; Y0 0; Smax 10000; p 0.350000; temps moyen 7.639032 p' 0.958715
X0 1; Y0 0; Smax 10000; p 0.450000; temps moyen 29.336198 p' 0.926525
X0 1; Y0 0; Smax 10000; p 0.550000; temps moyen 121.172918 p' 0.917352
X0 1; Y0 0; Smax 10000; p 0.650000; temps moyen 241.548488 p' 0.842640
X0 1; Y0 0; Smax 10000; p 0.750000; temps moyen 227.260726 p' 0.624607
X0 1; Y0 0; Smax 10000; p 0.850000; temps moyen 173.514745 p' 0.357584
X0 1; Y0 0; Smax 10000; p 0.950000; temps moyen 125.641446 p' 0.108245
